# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20210701-20210731
# ----------------------------------------

Country,Source,Medium,Campaign,Device Category,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
United States,(direct),(none),(not set),desktop,"US$47,214.17","14,849","4,676",31.49%,"1,493",10.05%,848,5.71%,"14,806","14,849",1000:01:26,"100,413"
United States,(direct),(none),(not set),mobile,"US$5,737.44","7,452","3,878",52.04%,178,2.39%,106,1.42%,"7,484","7,452",248:22:42,"27,941"
Canada,(direct),(none),(not set),desktop,"US$2,691.94","1,389",658,47.37%,61,4.39%,22,1.58%,"1,389","1,389",67:07:01,"6,118"
Australia,(direct),(none),(not set),desktop,US$227.00,396,243,61.36%,4,1.01%,1,0.25%,395,396,10:39:13,"1,316"
South Korea,(direct),(none),(not set),mobile,US$111.97,141,68,48.23%,3,2.13%,1,0.71%,139,141,05:56:33,700
United Kingdom,(direct),(none),(not set),desktop,US$109.72,"1,102",556,50.45%,28,2.54%,3,0.27%,"1,101","1,102",41:43:59,"3,917"
South Korea,(direct),(none),(not set),desktop,US$64.00,854,486,56.91%,10,1.17%,1,0.12%,850,854,37:05:09,"2,620"
India,(direct),(none),(not set),mobile,US$52.00,"2,139","1,314",61.43%,32,1.50%,1,0.05%,"2,135","2,139",38:18:31,"6,773"
Taiwan,(direct),(none),(not set),desktop,US$49.60,917,557,60.74%,17,1.85%,1,0.11%,913,917,29:47:21,"2,689"
Mexico,(direct),(none),(not set),desktop,US$45.00,313,155,49.52%,8,2.56%,1,0.32%,313,313,19:31:32,"1,319"
Czechia,(direct),(none),(not set),desktop,US$30.00,49,31,63.27%,2,4.08%,1,2.04%,49,49,03:27:07,247
Puerto Rico,(direct),(none),(not set),desktop,US$20.00,11,1,9.09%,1,9.09%,1,9.09%,11,11,00:16:03,40
Netherlands,(direct),(none),(not set),desktop,US$9.08,196,130,66.33%,2,1.02%,1,0.51%,196,196,06:29:28,496
Andorra,(direct),(none),(not set),desktop,US$0.00,2,0,0.00%,0,0.00%,0,0.00%,2,2,00:16:29,10
United Arab Emirates,(direct),(none),(not set),desktop,US$0.00,81,49,60.49%,0,0.00%,0,0.00%,81,81,02:51:33,179
United Arab Emirates,(direct),(none),(not set),mobile,US$0.00,24,13,54.17%,1,4.17%,0,0.00%,24,24,00:19:33,123
United Arab Emirates,(direct),(none),(not set),tablet,US$0.00,4,4,100.00%,0,0.00%,0,0.00%,4,4,00:00:00,4
United Arab Emirates,google,cpc, MIX | Txt ~ AW - T-shirts (set 2),mobile,US$0.00,2,2,100.00%,0,0.00%,0,0.00%,2,2,00:00:00,2
Afghanistan,(direct),(none),(not set),mobile,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:01:31,2
Antigua & Barbuda,(direct),(none),(not set),desktop,US$0.00,2,1,50.00%,0,0.00%,0,0.00%,2,2,00:11:15,10
Antigua & Barbuda,(direct),(none),(not set),mobile,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Albania,(direct),(none),(not set),desktop,US$0.00,6,4,66.67%,0,0.00%,0,0.00%,6,6,00:08:17,20
Albania,(direct),(none),(not set),mobile,US$0.00,5,5,100.00%,0,0.00%,0,0.00%,5,5,00:00:00,5
Armenia,(direct),(none),(not set),desktop,US$0.00,12,9,75.00%,0,0.00%,0,0.00%,12,12,00:13:00,42
Armenia,(direct),(none),(not set),mobile,US$0.00,6,0,0.00%,0,0.00%,0,0.00%,6,6,00:27:22,37
Armenia,(direct),(none),(not set),tablet,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:05:49,6
Angola,(direct),(none),(not set),mobile,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:01:02,2
Argentina,(direct),(none),(not set),desktop,US$0.00,248,166,66.94%,2,0.81%,0,0.00%,248,248,06:14:52,531
Argentina,(direct),(none),(not set),mobile,US$0.00,30,17,56.67%,1,3.33%,0,0.00%,30,30,00:49:18,127
Argentina,Partners,affiliate,Data Share Promo,desktop,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Austria,(direct),(none),(not set),desktop,US$0.00,85,47,55.29%,1,1.18%,0,0.00%,85,85,03:12:44,241
Austria,(direct),(none),(not set),mobile,US$0.00,25,14,56.00%,1,4.00%,0,0.00%,25,25,01:33:37,171
Australia,(direct),(none),(not set),mobile,US$0.00,174,100,57.47%,6,3.45%,0,0.00%,174,174,08:23:37,677
Australia,(direct),(none),(not set),tablet,US$0.00,21,15,71.43%,0,0.00%,0,0.00%,21,21,00:25:52,35
Australia,Partners,affiliate,Data Share Promo,desktop,US$0.00,3,3,100.00%,0,0.00%,0,0.00%,3,3,00:00:00,3
Aruba,(direct),(none),(not set),mobile,US$0.00,4,4,100.00%,0,0.00%,0,0.00%,4,4,00:00:00,4
Azerbaijan,(direct),(none),(not set),desktop,US$0.00,14,6,42.86%,1,7.14%,0,0.00%,14,14,01:01:43,61
Azerbaijan,(direct),(none),(not set),mobile,US$0.00,5,2,40.00%,0,0.00%,0,0.00%,5,5,00:04:52,17
Azerbaijan,(direct),(none),(not set),tablet,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Bosnia & Herzegovina,(direct),(none),(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:00:26,3
Bosnia & Herzegovina,(direct),(none),(not set),mobile,US$0.00,2,1,50.00%,0,0.00%,0,0.00%,2,2,00:03:39,10
Bosnia & Herzegovina,(direct),(none),(not set),tablet,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Barbados,(direct),(none),(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:02:33,7
Bangladesh,(direct),(none),(not set),desktop,US$0.00,68,42,61.76%,2,2.94%,0,0.00%,68,68,01:12:08,195
Bangladesh,(direct),(none),(not set),mobile,US$0.00,47,26,55.32%,1,2.13%,0,0.00%,47,47,00:50:23,148
Bangladesh,(direct),(none),(not set),tablet,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Belgium,(direct),(none),(not set),desktop,US$0.00,77,43,55.84%,5,6.49%,0,0.00%,77,77,02:46:01,305
Belgium,(direct),(none),(not set),mobile,US$0.00,30,20,66.67%,1,3.33%,0,0.00%,30,30,00:35:18,61
Belgium,(direct),(none),(not set),tablet,US$0.00,2,1,50.00%,0,0.00%,0,0.00%,2,2,00:01:10,4
Bulgaria,(direct),(none),(not set),desktop,US$0.00,33,23,69.70%,2,6.06%,0,0.00%,33,33,00:58:16,97
Bulgaria,(direct),(none),(not set),mobile,US$0.00,20,10,50.00%,0,0.00%,0,0.00%,20,20,00:28:52,66
Bulgaria,google,cpc, MIX | Txt ~ AW - T-shirts (set 3),mobile,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Bahrain,(direct),(none),(not set),desktop,US$0.00,8,4,50.00%,0,0.00%,0,0.00%,8,8,00:17:27,24
Bahrain,(direct),(none),(not set),mobile,US$0.00,4,3,75.00%,0,0.00%,0,0.00%,4,4,00:07:19,14
Bahrain,(direct),(none),(not set),tablet,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Burundi,(direct),(none),(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:05:33,10
Benin,(direct),(none),(not set),mobile,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Bermuda,(direct),(none),(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:01:46,3
Brunei,(direct),(none),(not set),desktop,US$0.00,4,2,50.00%,0,0.00%,0,0.00%,4,4,00:01:38,15
Brunei,(direct),(none),(not set),mobile,US$0.00,2,0,0.00%,0,0.00%,0,0.00%,2,2,00:08:13,11
Bolivia,(direct),(none),(not set),desktop,US$0.00,17,8,47.06%,0,0.00%,0,0.00%,17,17,00:26:16,43
