# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20211201-20211231
# ----------------------------------------

Country,Source,Medium,Campaign,Device Category,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
United States,(direct),(none),(not set),desktop,"US$234,880.33","12,779","2,559",20.03%,"2,308",18.06%,"2,102",16.45%,"6,149",0,1515:46:29,"153,546"
United States,google,cpc, MIX | Txt ~ AW-Brand (US/Cali),desktop,"US$20,028.42",755,129,17.09%,125,16.56%,141,18.68%,341,0,87:02:37,"9,027"
United Kingdom,(direct),(none),(not set),desktop,"US$8,304.84",873,318,36.43%,74,8.48%,45,5.15%,570,0,72:57:16,"6,282"
Canada,(direct),(none),(not set),desktop,"US$7,194.44",699,212,30.33%,72,10.30%,27,3.86%,394,0,64:03:15,"5,594"
United States,google,cpc, MIX | Txt ~ AW - Apparel,desktop,"US$6,952.74",159,45,28.30%,30,18.87%,32,20.13%,70,0,19:13:07,"1,683"
United States,(direct),(none),(not set),mobile,"US$5,206.08","2,073","1,077",51.95%,107,5.16%,72,3.47%,"1,228",0,120:07:19,"10,465"
India,(direct),(none),(not set),desktop,"US$1,151.16",762,328,43.04%,44,5.77%,13,1.71%,476,0,58:45:41,"3,915"
Singapore,(direct),(none),(not set),desktop,"US$1,032.80",314,142,45.22%,18,5.73%,2,0.64%,170,0,30:37:42,"1,395"
Bahamas,(direct),(none),(not set),desktop,US$742.40,2,0,0.00%,2,100.00%,16,800.00%,1,0,02:39:43,159
Switzerland,(direct),(none),(not set),desktop,US$520.00,80,31,38.75%,6,7.50%,1,1.25%,60,0,06:50:41,394
United States,google,cpc, MIX | Txt ~ AW - Apparel,mobile,US$513.60,70,28,40.00%,8,11.43%,5,7.14%,48,0,05:05:02,437
