# ----------------------------------------
# 1 Master View
# Product Details
# 20220101-20221231
# ----------------------------------------

Product SKU,Product,Product Brand,Product Category Level 1,Product Revenue,Quantity,Avg. Price
GGOEGBJQ125099,Google Large Tote White,Google,Bags,"US$26,390.00","2,452",US$10.76
GGOEGAPC167099,Google Vintage Cap Navy,Google,Collections,"US$23,931.60","1,578",US$15.17
GGOEGDHH170499,Google Sea Glass Bottle,Google,New,"US$22,582.80","1,021",US$22.12
GGOEGBRB186499,Google Adventure Backpack Black,Google,New,"US$21,848.80",212,US$103.06
GGOECOLJ164299,Google Cloud Journal,Google Cloud,Shop by Brand,"US$20,496.80","1,308",US$15.67
GGOECFBG197699,Google Cloud Desktop Neon Sign,Google Cloud,Lifestyle,"US$20,491.00",163,US$125.71
GGOEGDHQ174699,Super G Bamboo Lid Bottle,(not set),New,"US$19,915.20","2,007",US$9.92
GGOEGBRC127999,Google Incognito Techpack V2,Google,Bags,"US$19,817.60",274,US$72.33
GGOEGDHB185499,Google Onyx Water Bottle,Google,New,"US$19,492.80",997,US$19.55
GGOEGAKA181110,Google Land & Sea Sock,Google,Apparel,"US$19,350.00","1,209",US$16.00
GGOEGDWQ183599,Google Camp Mug White,Google,New,"US$19,002.00","1,506",US$12.62
GGOECBRJ188499,Google Cloud Modern Rucksack,Google Cloud,New,"US$16,910.00",215,US$78.65
GGOEGDHB187799,Google Voyager Bottle,Google,New,"US$16,902.60",626,US$27.00
GGOEGOCJ190899,Google Recycled Gray Notebook,Google,New,"US$16,201.60","2,435",US$6.65
GGOECAXA190210,Google Cloud Striped Sock,Google Cloud,New,"US$15,951.60","1,075",US$14.84
GGOECAPB180310,Google Cloud Cap,Google Cloud,Apparel,"US$15,848.80","1,045",US$15.17
GGOEGHPB120910,Google Leather Strap Hat Black,Google,Shop by Brand,"US$15,725.60",946,US$16.62
GGOEGAPB171210,Super G Washed Cap,Google,New,"US$15,465.00","1,000",US$15.46
GGOEGAAB118915,Google Unisex Eco Tee Black,Google,Men's,"US$14,861.60",684,US$21.73
GGOEGDHK184899,Google Etched Tumbler Sand,Google,New,"US$14,752.00",526,US$28.05
GGOEGCBA096099,Google Campus Bike,Google,Collections,"US$14,712.00",436,US$33.74
GGOEGDHC186099,Google RIPL Ocean Blue Bottle,Google,New,"US$14,476.00",298,US$48.58
GGOECDHQ163999,Google Shoreline Water Bottle,Google Cloud,Collections,"US$14,003.60",643,US$21.78
GGOEGDHG162299,Google Land & Sea Nalgene Water Bottle,Google,Collections,"US$13,795.00",671,US$20.56
GGOEGDWJ178299,Google Speckled Mug,(not set),New,"US$12,972.00","1,309",US$9.91
