# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20190101-20190131
# ----------------------------------------

Gender,Age,User Type,Default Channel Grouping,Country,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
female,25-34,Returning Visitor,Organic Search,United States,US$129.96,347,117,33.72%,11,3.17%,1,0.29%,229,0,21:19:27,"1,817"
female,65+,New Visitor,Organic Search,United States,US$52.97,26,10,38.46%,1,3.85%,1,3.85%,26,26,00:36:19,96
male,35-44,Returning Visitor,Organic Search,United States,US$31.57,421,118,28.03%,14,3.33%,1,0.24%,274,0,29:20:07,"2,467"
male,18-24,New Visitor,Organic Search,United States,US$25.97,529,164,31.00%,6,1.13%,1,0.19%,529,529,22:12:15,"2,669"
male,25-34,New Visitor,Organic Search,United States,US$24.98,"1,180",326,27.63%,22,1.86%,2,0.17%,"1,180","1,180",62:14:13,"6,582"
female,55-64,New Visitor,Organic Search,United States,US$21.99,59,25,42.37%,2,3.39%,1,1.69%,59,59,03:11:23,266
female,18-24,New Visitor,Organic Search,United States,US$18.99,270,98,36.30%,2,0.74%,1,0.37%,270,270,10:29:52,"1,299"
male,35-44,New Visitor,Social,United States,US$15.99,31,11,35.48%,1,3.23%,1,3.23%,31,31,01:01:32,137
female,18-24,New Visitor,Affiliates,India,US$0.00,10,5,50.00%,0,0.00%,0,0.00%,10,10,00:19:40,68
female,18-24,New Visitor,Affiliates,United States,US$0.00,16,10,62.50%,0,0.00%,0,0.00%,16,16,00:11:07,41
female,18-24,New Visitor,Direct,India,US$0.00,14,7,50.00%,0,0.00%,0,0.00%,14,14,00:18:35,51
female,18-24,New Visitor,Direct,South Korea,US$0.00,20,13,65.00%,0,0.00%,0,0.00%,20,20,00:41:25,61
female,18-24,New Visitor,Direct,Taiwan,US$0.00,11,1,9.09%,0,0.00%,0,0.00%,11,11,00:29:53,97
female,18-24,New Visitor,Direct,United States,US$0.00,71,16,22.54%,3,4.23%,0,0.00%,71,71,04:58:23,412
female,18-24,New Visitor,Display,United States,US$0.00,18,17,94.44%,0,0.00%,0,0.00%,18,18,00:00:50,20
female,18-24,New Visitor,Organic Search,Australia,US$0.00,11,10,90.91%,0,0.00%,0,0.00%,11,11,00:00:27,12
female,18-24,New Visitor,Organic Search,Canada,US$0.00,59,22,37.29%,1,1.69%,0,0.00%,59,59,03:43:50,227
female,18-24,New Visitor,Organic Search,Germany,US$0.00,18,10,55.56%,0,0.00%,0,0.00%,18,18,00:12:09,46
female,18-24,New Visitor,Organic Search,France,US$0.00,21,7,33.33%,1,4.76%,0,0.00%,21,21,06:09:46,243
female,18-24,New Visitor,Organic Search,United Kingdom,US$0.00,18,7,38.89%,0,0.00%,0,0.00%,18,18,00:10:49,50
female,18-24,New Visitor,Organic Search,India,US$0.00,73,31,42.47%,0,0.00%,0,0.00%,73,73,02:49:39,301
female,18-24,New Visitor,Organic Search,Italy,US$0.00,10,5,50.00%,0,0.00%,0,0.00%,10,10,00:50:44,67
female,18-24,New Visitor,Organic Search,Philippines,US$0.00,11,5,45.45%,0,0.00%,0,0.00%,11,11,00:57:44,30
female,18-24,New Visitor,Paid Search,United States,US$0.00,24,12,50.00%,0,0.00%,0,0.00%,24,24,00:31:20,65
female,18-24,New Visitor,Referral,United States,US$0.00,82,17,20.73%,3,3.66%,0,0.00%,82,82,04:17:57,532
female,18-24,New Visitor,Social,India,US$0.00,14,11,78.57%,0,0.00%,0,0.00%,14,14,00:02:56,22
female,18-24,New Visitor,Social,Vietnam,US$0.00,12,7,58.33%,0,0.00%,0,0.00%,12,12,00:59:57,30
female,18-24,Returning Visitor,Direct,United States,US$0.00,46,9,19.57%,2,4.35%,0,0.00%,21,0,04:05:15,352
female,18-24,Returning Visitor,Organic Search,Canada,US$0.00,38,19,50.00%,0,0.00%,0,0.00%,23,0,03:59:48,119
female,18-24,Returning Visitor,Organic Search,United States,US$0.00,113,43,38.05%,3,2.65%,0,0.00%,69,0,06:36:27,583
female,18-24,Returning Visitor,Referral,United States,US$0.00,101,22,21.78%,2,1.98%,0,0.00%,58,0,07:05:11,593
female,18-24,Returning Visitor,Social,Vietnam,US$0.00,33,16,48.48%,0,0.00%,0,0.00%,10,0,01:27:21,88
female,25-34,New Visitor,(Other),United States,US$0.00,21,0,0.00%,1,4.76%,0,0.00%,21,21,02:41:42,270
female,25-34,New Visitor,Affiliates,India,US$0.00,12,7,58.33%,0,0.00%,0,0.00%,12,12,00:15:14,25
female,25-34,New Visitor,Affiliates,Russia,US$0.00,10,10,100.00%,0,0.00%,0,0.00%,10,10,00:00:00,10
female,25-34,New Visitor,Affiliates,United States,US$0.00,15,10,66.67%,0,0.00%,0,0.00%,15,15,00:16:59,49
female,25-34,New Visitor,Direct,Canada,US$0.00,23,9,39.13%,0,0.00%,0,0.00%,23,23,01:02:37,102
female,25-34,New Visitor,Direct,United Kingdom,US$0.00,29,12,41.38%,0,0.00%,0,0.00%,29,29,01:24:14,111
female,25-34,New Visitor,Direct,India,US$0.00,53,17,32.08%,0,0.00%,0,0.00%,52,53,01:57:48,225
female,25-34,New Visitor,Direct,Japan,US$0.00,14,2,14.29%,0,0.00%,0,0.00%,14,14,00:36:55,72
female,25-34,New Visitor,Direct,Taiwan,US$0.00,28,5,17.86%,0,0.00%,0,0.00%,28,28,00:54:51,133
female,25-34,New Visitor,Direct,United States,US$0.00,298,50,16.78%,17,5.70%,0,0.00%,298,298,24:56:27,"1,997"
